"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53","Delete file","LMS service","2026-06-07","passed","2026-06-07","Delete entity","Files","",""
"","2047","Create file with empty directory","LMS service","2026-06-07","passed","2026-06-07","Validate entity","Files","",""
"","2384","Login with correct email and password","LMS service","2026-06-07","passed","2026-06-07","Login","Authentication","",""
"","66","Create course","LMS service","2026-06-07","passed","2026-06-07","Create entity","Courses","",""
"
        Тест на получение файла с некорректным UUID (negative).
        ","2055","Create file","LMS service","2026-06-07","passed","2026-06-07","Create entity","Files","",""
"","2053","Get user me","LMS service","2026-06-07","passed","2026-06-07","Get entities","Users","",""
"","2454","Create user","LMS service","2026-06-07","passed","2026-06-07","Create entity","Users","",""
"","2126","Create file with empty filename","LMS service","2026-06-07","passed","2026-06-07","Validate entity","Files","",""
"","2469","Create user","LMS service","2026-06-07","passed","2026-06-07","Create entity","Users","",""
"","30","Get courses","LMS service","2026-06-07","passed","2026-06-07","Get entities","Courses","",""
"","28","Get exercise","LMS service","2026-06-07","passed","2026-06-07","Get entity","Exercises","",""
"","60","Update course","LMS service","2026-06-07","passed","2026-06-07","Update entity","Courses","",""
"","43","Update exercise","LMS service","2026-06-07","passed","2026-06-07","Update entity","Exercises","",""
"","46","Create exercise","LMS service","2026-06-07","passed","2026-06-07","Create entity","Exercises","",""
"","2410","Create user","LMS service","2026-06-07","passed","2026-06-07","Create entity","Users","",""
"","25","Get exercises","LMS service","2026-06-07","passed","2026-06-07","Get entities","Exercises","",""
"","44","Delete exercise","LMS service","2026-06-07","passed","2026-06-07","Delete entity","Exercises","",""
